structure_number,nbi_year,state,county,latitude,longitude,year_built,material_code,material,design_code,design_type,num_spans,structure_length_m,deck_width_m,condition_rating,hwb_class,deck_area_m2,design_era
53 0704F,2024,6,37,34.036175,-118.43868611111112,1964,6,prestressed_concrete,5,other,3,480.0,11.6,7.0,HWB1,5568.0,conventional
53 0706,2024,6,37,34.039113888888885,-118.439375,1959,1,concrete,5,other,1,36.3,43.6,7.0,HWB3,1582.6799999999998,conventional
53 0707F,2024,6,37,34.03899166666667,-118.27480555555556,1962,5,prestressed_concrete,5,other,30,686.4,10.1,7.0,HWB1,6932.639999999999,conventional
53 0708,2024,6,37,34.04693333333333,-118.44624722222224,1959,1,concrete,5,other,1,34.7,57.0,7.0,HWB3,1977.9,conventional
53 0710,2024,6,37,34.05571388888889,-118.45176944444444,1957,2,concrete,5,other,2,42.1,71.0,7.0,HWB5,2989.1,conventional
53 0711,2024,6,37,34.06003055555555,-118.45515833333332,1957,1,concrete,5,other,1,13.1,63.3,7.0,HWB3,829.2299999999999,conventional
53 0712,2024,6,37,34.06714166666667,-118.46134166666668,1956,1,concrete,5,other,1,20.1,48.6,7.0,HWB3,976.86,conventional
53 0714,2024,6,37,34.07466666666667,-118.46768888888889,1955,1,concrete,A,other,1,165.7,51.0,7.0,HWB1,8450.699999999999,conventional
53 0720,2024,6,37,34.197152777777774,-118.60577777777776,1949,1,concrete,5,other,1,15.8,25.6,7.0,HWB3,404.48,conventional
53 0722,2024,6,37,34.09470833333334,-118.3112111111111,1951,2,concrete,5,other,3,80.5,14.6,7.0,HWB5,1175.3,conventional
53 0724,2024,6,37,34.10261666666667,-118.31790833333334,1977,3,steel,5,other,2,78.9,16.5,5.0,HWB28,1301.85,seismic
53 0726,2024,6,37,33.80428333333333,-118.207725,1947,2,concrete,5,other,4,53.8,21.9,7.0,HWB5,1178.2199999999998,conventional
53 0727,2024,6,37,33.82156666666667,-118.2072111111111,1949,2,concrete,5,other,4,68.3,24.4,7.0,HWB5,1666.5199999999998,conventional
53 0728K,2024,6,37,34.105450000000005,-118.32783055555556,1953,1,concrete,5,other,1,42.5,8.5,5.0,HWB3,361.25,conventional
53 0729L,2024,6,37,34.111694444444446,-118.3354472222222,1954,2,concrete,5,other,5,136.9,18.3,4.0,HWB5,2505.27,conventional
53 0730,2024,6,37,34.31455,-118.4889388888889,1975,6,prestressed_concrete,5,other,4,116.7,59.1,7.0,HWB6,6896.97,seismic
53 0731,2024,6,37,34.096333333333334,-118.31351388888888,1951,2,concrete,5,other,4,103.9,12.2,4.0,HWB5,1267.58,conventional
53 0732K,2024,6,37,34.10043888888889,-118.31614166666668,1977,6,prestressed_concrete,5,other,3,96.6,9.8,7.0,HWB6,946.68,seismic
53 0734,2024,6,37,34.19025,-118.18119722222222,1974,5,prestressed_concrete,5,other,1,48.5,43.9,7.0,HWB3,2129.15,conventional
53 0738,2024,6,37,34.08848611111112,-118.47500555555555,1962,1,concrete,5,other,1,36.9,56.7,7.0,HWB3,2092.23,conventional
53 0740,2024,6,37,34.14796666666667,-118.46936111111113,1962,2,concrete,5,other,2,79.2,28.0,7.0,HWB5,2217.6,conventional
53 0741,2024,6,37,34.15392222222222,-118.46775277777778,1956,3,steel,5,other,1,39.4,43.3,5.0,HWB15,1706.0199999999998,conventional
53 0741G,2024,6,37,34.153888888888886,-118.46754722222222,1956,3,steel,5,other,1,39.4,18.9,7.0,HWB15,744.66,conventional
53 0742K,2024,6,37,34.05663333333333,-118.2558138888889,1951,2,concrete,5,other,4,78.3,7.0,7.0,HWB5,548.1,conventional
53 0743,2024,6,37,34.11305277777778,-118.24421111111111,1958,1,concrete,5,other,1,58.2,39.6,7.0,HWB3,2304.7200000000003,conventional
53 0744,2024,6,37,34.055186111111105,-118.25730555555556,1951,2,concrete,5,other,5,99.7,11.0,7.0,HWB5,1096.7,conventional
53 0745K,2024,6,37,34.053225,-118.25882222222222,1953,2,concrete,5,other,4,84.1,8.5,7.0,HWB5,714.8499999999999,conventional
53 0746,2024,6,37,34.05277222222222,-118.25966666666666,1953,2,concrete,5,other,4,96.0,11.0,7.0,HWB5,1056.0,conventional
53 0747K,2024,6,37,34.05231388888889,-118.25987222222224,1953,2,concrete,5,other,2,61.0,9.4,7.0,HWB5,573.4,conventional
53 0748,2024,6,37,34.051294444444444,-118.26141666666666,1952,2,concrete,5,other,3,57.9,17.1,7.0,HWB5,990.09,conventional
53 0749,2024,6,37,34.05041111111111,-118.26331666666668,1953,6,prestressed_concrete,5,other,1,87.5,17.1,7.0,HWB3,1496.2500000000002,conventional
53 0750,2024,6,37,34.04923888888889,-118.26411666666668,1953,1,concrete,5,other,1,33.2,39.6,7.0,HWB3,1314.7200000000005,conventional
53 0750S,2024,6,37,34.049175,-118.26393888888887,1953,1,concrete,5,other,1,31.4,11.9,5.0,HWB3,373.66,conventional
53 0751K,2024,6,37,34.04901666666667,-118.26561666666667,1953,1,concrete,5,other,1,19.8,6.7,7.0,HWB3,132.66,conventional
53 0752,2024,6,37,34.04770277777778,-118.26647777777778,1953,1,concrete,6,other,1,28.3,48.2,5.0,HWB3,1364.0600000000002,conventional
53 0755,2024,6,37,34.143388888888886,-118.74198055555556,1949,2,concrete,5,other,3,24.4,57.6,7.0,HWB5,1405.44,conventional
53 0756S,2024,6,37,34.032275,-118.18469722222224,1965,2,concrete,5,other,4,81.1,8.5,7.0,HWB5,689.3499999999999,conventional
53 0758,2024,6,37,34.055211111111106,-118.24042777777778,1950,1,concrete,5,other,1,13.1,19.2,7.0,HWB3,251.52,conventional
53 0763,2024,6,37,34.14713055555556,-118.16140555555556,1971,6,prestressed_concrete,5,other,2,83.5,24.4,5.0,HWB5,2037.4,conventional
53 0765,2024,6,37,33.96425833333333,-118.11980555555554,1953,2,concrete,5,other,3,48.9,38.4,5.0,HWB5,1877.76,conventional
53 0769,2024,6,37,34.055274999999995,-118.23901666666669,1950,1,concrete,5,other,1,12.8,22.6,7.0,HWB3,289.28000000000003,conventional
53 0771,2024,6,37,34.033097222222224,-118.18085555555557,1965,2,concrete,5,other,4,107.9,43.9,5.0,HWB5,4736.81,conventional
53 0772,2024,6,37,34.03388611111111,-118.17898333333332,1967,2,concrete,5,other,3,47.5,42.4,7.0,HWB5,2014.0,conventional
53 0773M,2024,6,37,34.08268611111112,-118.29666666666668,1950,1,concrete,5,other,4,8.2,21.9,,HWB7,179.57999999999998,conventional
53 0775,2024,6,37,34.03534444444444,-118.17368611111112,1967,2,concrete,5,other,3,71.0,18.9,7.0,HWB5,1341.9,conventional
53 0776,2024,6,37,33.97808055555556,-118.43570833333334,1932,1,concrete,3,other,2,7.3,29.3,,HWB7,213.89,conventional
53 0780,2024,6,37,34.11813055555555,-118.23523333333334,1976,6,prestressed_concrete,5,other,2,63.4,18.3,4.0,HWB6,1160.22,seismic
53 0782,2024,6,37,34.053875,-118.2377527777778,1954,2,concrete,4,other,2,53.9,24.4,7.0,HWB5,1315.16,conventional
53 0783K,2024,6,37,34.106025,-118.32836388888887,1953,2,concrete,5,other,5,96.3,7.4,7.0,HWB5,712.62,conventional
53 0784,2024,6,37,34.019283333333334,-118.17997222222225,1951,2,concrete,5,other,2,64.9,12.2,5.0,HWB5,791.78,conventional
53 0785R,2024,6,37,34.01541666666667,-118.17219722222222,1954,2,concrete,5,other,8,214.6,13.4,7.0,HWB1,2875.64,conventional
53 0787,2024,6,37,34.05506944444444,-118.25741666666669,1951,2,concrete,5,other,5,94.2,7.3,7.0,HWB5,687.66,conventional
53 0788L,2024,6,37,34.01563055555555,-118.17286666666668,1955,2,concrete,5,other,7,230.9,15.5,7.0,HWB1,3578.9500000000003,conventional
53 0789E,2024,6,37,34.016241666666666,-118.17268611111112,1956,2,concrete,5,other,6,140.8,16.2,5.0,HWB5,2280.96,conventional
53 0790G,2024,6,37,34.015477777777775,-118.17248611111113,1955,2,concrete,5,other,3,68.3,10.1,7.0,HWB5,689.8299999999999,conventional
53 0793S,2024,6,37,34.04944444444444,-118.26345277777776,1953,1,concrete,5,other,1,34.5,11.9,5.0,HWB3,410.55,conventional
53 0794,2024,6,37,34.04643055555555,-118.26849166666666,1953,1,concrete,6,other,1,36.9,44.5,5.0,HWB3,1642.05,conventional
53 0797,2024,6,37,34.10671111111111,-118.32833333333332,1953,1,concrete,5,other,1,11.6,41.8,7.0,HWB3,484.88,conventional
53 0801,2024,6,37,34.10755555555556,-118.3295,1952,1,concrete,5,other,1,13.1,78.6,,HWB3,1029.66,conventional
53 0809L,2024,6,37,34.07159722222222,-118.12893055555556,1953,1,concrete,5,other,1,20.4,25.8,7.0,HWB3,526.3199999999999,conventional
53 0809R,2024,6,37,34.071311111111115,-118.12893333333332,1953,1,concrete,5,other,1,20.4,25.8,7.0,HWB3,526.3199999999999,conventional
53 0811,2024,6,37,34.05669444444444,-118.24156944444444,1951,1,concrete,5,other,1,19.5,9.8,7.0,HWB3,191.1,conventional
53 0815,2024,6,37,33.83952777777778,-118.20755833333334,1954,3,steel,5,other,2,78.3,8.2,5.0,HWB28,642.06,conventional
53 0817,2024,6,37,33.84295277777778,-118.20611666666667,1953,2,concrete,5,other,3,90.2,33.5,7.0,HWB5,3021.7000000000003,conventional
53 0818,2024,6,37,33.846516666666666,-118.20524166666668,1953,1,concrete,5,other,1,26.0,38.1,7.0,HWB3,990.6,conventional
53 0819,2024,6,37,33.86293333333334,-118.19968333333334,1974,6,prestressed_concrete,5,other,2,120.1,32.9,5.0,HWB5,3951.29,conventional
53 0820,2024,6,37,33.874233333333336,-118.193875,1953,2,concrete,5,other,4,79.9,25.6,7.0,HWB5,2045.4400000000005,conventional
53 0821,2024,6,37,33.88448888888889,-118.19054444444444,1954,1,concrete,5,other,1,31.7,53.9,7.0,HWB3,1708.63,conventional
53 0822,2024,6,37,33.88885833333333,-118.18926111111112,1958,2,concrete,5,other,2,53.0,26.2,7.0,HWB5,1388.6,conventional
53 0823,2024,6,37,33.896144444444445,-118.18796944444443,1986,6,prestressed_concrete,6,other,2,69.2,16.5,7.0,HWB6,1141.8,seismic
53 0824,2024,6,37,33.903480555555554,-118.18620277777778,1990,6,prestressed_concrete,6,other,4,126.2,30.5,7.0,HWB6,3849.1,seismic
53 0827,2024,6,37,33.930788888888884,-118.17918055555556,1956,2,concrete,5,other,4,67.7,22.6,7.0,HWB5,1530.0200000000002,conventional
53 0828,2024,6,37,33.935025,-118.17601388888887,1955,4,steel,5,other,4,175.0,34.7,4.0,HWB1,6072.500000000001,conventional
53 0829,2024,6,37,33.937377777777776,-118.17283055555556,1957,1,concrete,5,other,1,14.6,39.0,7.0,HWB3,569.4,conventional
53 0830,2024,6,37,33.93881111111111,-118.17179166666668,1957,1,concrete,5,other,1,10.7,39.0,7.0,HWB3,417.3,conventional
53 0831,2024,6,37,33.94967222222222,-118.17080833333334,1957,2,concrete,5,other,4,69.8,25.6,7.0,HWB5,1786.88,conventional
53 0833,2024,6,37,33.96358333333334,-118.16973055555556,1957,2,concrete,5,other,2,42.1,16.5,7.0,HWB5,694.65,conventional
53 0834,2024,6,37,33.96809722222223,-118.16818611111113,1957,2,concrete,5,other,4,68.0,23.8,7.0,HWB5,1618.4,conventional
53 0835,2024,6,37,33.975880555555555,-118.1678388888889,1957,2,concrete,5,other,2,40.8,13.4,7.0,HWB5,546.72,conventional
53 0837,2024,6,37,33.98655,-118.16999444444446,1957,2,concrete,5,other,2,47.5,21.3,7.0,HWB5,1011.75,conventional
53 0839,2024,6,37,33.99577222222222,-118.17666944444444,1957,1,concrete,5,other,1,11.6,48.8,7.0,HWB3,566.0799999999999,conventional
53 0839K,2024,6,37,33.995622222222224,-118.17753333333334,1957,2,concrete,5,other,3,33.8,8.5,7.0,HWB5,287.29999999999995,conventional
53 0840,2024,6,37,34.00076111111111,-118.17452777777778,1954,3,steel,5,other,12,335.9,35.1,7.0,HWB1,11790.09,conventional
53 0841,2024,6,37,34.00454722222222,-118.17278888888887,1955,1,concrete,5,other,1,32.0,46.0,7.0,HWB3,1472.0,conventional
53 0842,2024,6,37,34.00754444444444,-118.172225,1954,3,steel,5,other,14,425.4,38.1,5.0,HWB1,16207.74,conventional
53 0848,2024,6,37,34.33363888888889,-118.505025,1955,2,concrete,5,other,3,75.0,24.5,5.0,HWB5,1837.5,conventional
53 0848G,2024,6,37,34.33379166666667,-118.50484166666666,1975,2,concrete,6,other,3,66.0,11.9,7.0,HWB6,785.4,seismic
53 0849,2024,6,37,34.33615833333334,-118.5081111111111,1955,2,concrete,5,other,4,40.2,25.5,5.0,HWB5,1025.1,conventional
53 0849K,2024,6,37,34.33555833333334,-118.50761111111112,1971,2,concrete,5,other,3,68.3,7.3,7.0,HWB5,498.59,conventional
53 0850,2024,6,37,34.00395833333334,-118.17298333333332,1954,1,concrete,5,other,1,7.6,39.9,7.0,HWB3,303.23999999999995,conventional
53 0857,2024,6,37,34.044125,-118.27165555555555,1953,1,concrete,6,other,1,20.1,43.3,7.0,HWB3,870.33,conventional
53 0865K,2024,6,37,34.10410555555556,-118.32377777777778,1977,6,prestressed_concrete,5,other,3,89.0,7.3,7.0,HWB6,649.6999999999999,seismic
53 0866K,2024,6,37,34.11680277777778,-118.33796388888888,1954,2,concrete,5,other,5,117.5,8.1,4.0,HWB5,951.75,conventional
53 0867,2024,6,37,34.067661111111114,-118.0221611111111,1956,3,steel,5,other,2,54.6,52.9,7.0,HWB28,2888.34,conventional
53 0868L,2024,6,37,34.49180833333333,-118.19849722222224,1965,2,concrete,5,other,3,44.8,17.7,7.0,HWB5,792.9599999999999,conventional
53 0868R,2024,6,37,34.49136111111111,-118.19849722222224,1965,2,concrete,5,other,3,44.8,17.7,7.0,HWB5,792.9599999999999,conventional
53 0869,2024,6,37,34.014541666666666,-118.1721,1955,1,concrete,5,other,1,18.3,56.1,7.0,HWB3,1026.63,conventional
53 0871L,2024,6,37,34.48896666666667,-118.1628638888889,1965,2,concrete,5,other,3,44.8,17.7,7.0,HWB5,792.9599999999999,conventional
53 0871R,2024,6,37,34.48861388888889,-118.1631888888889,1965,2,concrete,6,other,3,44.8,17.7,7.0,HWB5,792.9599999999999,conventional
53 0875S,2024,6,37,33.99891944444445,-118.1739888888889,1957,2,concrete,5,other,3,53.7,8.5,7.0,HWB5,456.4500000000001,conventional
53 0876K,2024,6,37,33.99866388888889,-118.17670555555556,1957,2,concrete,5,other,2,35.7,6.7,7.0,HWB5,239.19000000000003,conventional
53 0877,2024,6,37,33.99845833333333,-118.17611111111113,1957,2,concrete,5,other,2,32.6,37.2,5.0,HWB5,1212.7200000000005,conventional
53 0879,2024,6,37,34.116166666666665,-118.2390638888889,1976,6,prestressed_concrete,5,other,2,60.4,12.2,7.0,HWB6,736.88,seismic
53 0880,2024,6,37,34.04526388888889,-118.2704,1953,1,concrete,6,other,1,20.1,39.0,7.0,HWB3,783.9000000000001,conventional
53 0882,2024,6,37,34.06475555555555,-118.00084722222222,1956,1,concrete,5,other,1,20.1,57.5,7.0,HWB3,1155.75,conventional
53 0883,2024,6,37,34.068125,-118.03951388888888,1956,1,concrete,5,other,1,19.2,65.9,7.0,HWB3,1265.28,conventional
53 0886S,2024,6,37,34.110905555555554,-118.18041944444444,1940,1,concrete,3,other,1,24.7,7.0,7.0,HWB3,172.9,conventional
53 0887,2024,6,37,34.04260277777777,-118.27270833333333,1953,1,concrete,5,other,1,27.4,39.0,7.0,HWB3,1068.6,conventional
53 0888,2024,6,37,34.03890833333333,-118.273675,1953,1,concrete,5,other,1,26.8,49.4,7.0,HWB3,1323.92,conventional
53 0889,2024,6,37,34.03515,-118.27412777777778,1954,1,concrete,5,other,1,71.3,68.6,7.0,HWB3,4891.179999999999,conventional
53 0891,2024,6,37,34.030033333333336,-118.27465555555555,1954,2,concrete,5,other,2,86.6,20.7,7.0,HWB5,1792.62,conventional
53 0893,2024,6,37,34.02747222222222,-118.27485277777778,1956,2,concrete,5,other,2,46.6,17.7,7.0,HWB5,824.8199999999999,conventional
53 0894,2024,6,37,34.025863888888885,-118.27573055555555,1996,6,prestressed_concrete,6,other,2,66.0,12.2,7.0,HWB6,805.1999999999999,seismic
53 0896,2024,6,37,34.02437222222222,-118.276675,1996,6,prestressed_concrete,6,other,2,67.4,12.2,7.0,HWB6,822.28,seismic
53 0897,2024,6,37,34.02081944444444,-118.2778111111111,1995,5,prestressed_concrete,6,other,1,28.2,82.0,5.0,HWB4,2312.4,seismic
53 0898,2024,6,37,34.01818333333333,-118.27947777777776,1956,2,concrete,5,other,4,52.7,58.0,7.0,HWB5,3056.6000000000004,conventional
53 0899,2024,6,37,34.01716388888889,-118.27991666666668,1996,6,prestressed_concrete,6,other,4,99.3,84.0,7.0,HWB6,8341.199999999999,seismic
53 0901L,2024,6,37,34.01368055555555,-118.28105277777776,1996,5,prestressed_concrete,6,other,1,37.2,32.3,5.0,HWB4,1201.56,seismic
53 0901R,2024,6,37,34.01354722222222,-118.28048888888888,1996,5,prestressed_concrete,6,other,1,39.0,31.7,5.0,HWB4,1236.3,seismic
53 0902,2024,6,37,34.01094444444445,-118.28054722222222,1956,1,concrete,5,other,1,32.9,77.7,7.0,HWB3,2556.33,conventional
53 0904,2024,6,37,34.005494444444444,-118.28148055555556,1993,6,prestressed_concrete,6,other,2,79.6,15.2,5.0,HWB6,1209.9199999999998,seismic
53 0905,2024,6,37,34.00731388888889,-118.28141111111113,1993,6,prestressed_concrete,6,other,2,72.5,15.2,7.0,HWB6,1102.0,seismic
53 0906,2024,6,37,34.00364166666667,-118.28145277777776,1993,6,prestressed_concrete,6,other,2,64.3,24.4,5.0,HWB6,1568.9199999999998,seismic
53 0907,2024,6,37,34.00096111111111,-118.28139166666666,1996,6,prestressed_concrete,6,other,2,75.6,12.2,7.0,HWB6,922.3199999999998,seismic
53 0908,2024,6,37,33.998222222222225,-118.28118888888888,1994,6,prestressed_concrete,6,other,2,81.7,12.2,5.0,HWB6,996.74,seismic
53 0909,2024,6,37,33.99640277777778,-118.28091666666668,1994,6,prestressed_concrete,6,other,2,64.6,12.2,7.0,HWB6,788.1199999999999,seismic
53 0910,2024,6,37,33.993233333333336,-118.28086388888887,1993,6,prestressed_concrete,6,other,2,65.2,15.2,5.0,HWB6,991.04,seismic
53 0911,2024,6,37,33.98892222222222,-118.2799611111111,1996,5,prestressed_concrete,6,other,2,48.7,96.1,4.0,HWB8,4680.07,seismic
53 0912,2024,6,37,33.98590277777778,-118.28016111111113,1956,1,concrete,5,other,1,19.8,71.6,5.0,HWB3,1417.6799999999998,conventional
53 0914,2024,6,37,33.982261111111114,-118.2804,1956,1,concrete,5,other,1,26.5,56.7,7.0,HWB3,1502.5500000000002,conventional
53 0916,2024,6,37,33.97891388888889,-118.28051944444444,1956,1,concrete,5,other,1,19.8,61.0,7.0,HWB3,1207.8,conventional
53 0918,2024,6,37,33.97453333333333,-118.28054444444444,1956,3,steel,6,other,1,32.3,56.7,7.0,HWB15,1831.41,conventional
53 0920,2024,6,37,33.970711111111115,-118.28055,1956,1,concrete,5,other,1,19.8,56.7,5.0,HWB3,1122.66,conventional
53 0922,2024,6,37,33.96776388888889,-118.28051666666668,1956,1,concrete,5,other,1,26.5,40.2,7.0,HWB3,1065.3000000000002,conventional
53 0924,2024,6,37,33.964083333333335,-118.28051111111112,1956,1,concrete,5,other,1,19.8,70.3,5.0,HWB3,1391.94,conventional
53 0926,2024,6,37,33.95985833333334,-118.28042222222224,1996,5,prestressed_concrete,6,other,2,50.3,70.4,7.0,HWB8,3541.12,seismic
53 0928,2024,6,37,33.95664722222222,-118.28048888888888,1956,1,concrete,5,other,1,19.8,37.8,7.0,HWB3,748.4399999999999,conventional
53 0930,2024,6,37,33.95268055555556,-118.28010833333332,1958,1,concrete,5,other,1,26.8,39.0,7.0,HWB3,1045.2,conventional
53 0932,2024,6,37,33.94909444444444,-118.27936111111111,1958,1,concrete,6,other,1,19.5,64.6,7.0,HWB3,1259.6999999999998,conventional
53 0933,2024,6,37,33.94714444444444,-118.27905833333334,1958,1,concrete,5,other,1,99.0,2.7,7.0,HWB3,267.3,conventional
53 0934,2024,6,37,33.9454,-118.27941944444444,1958,1,concrete,5,other,1,33.2,64.6,7.0,HWB3,2144.72,conventional
53 0936,2024,6,37,33.94168611111111,-118.27951666666668,1958,1,concrete,6,other,1,19.2,77.4,5.0,HWB3,1486.0800000000002,conventional
53 0938,2024,6,37,33.93808055555555,-118.27937777777778,1958,1,concrete,6,other,1,25.6,95.4,7.0,HWB3,2442.24,conventional
53 0939,2024,6,37,34.03086666666667,-118.43536666666668,1963,2,concrete,5,other,3,53.7,34.1,5.0,HWB5,1831.17,conventional
53 0941,2024,6,37,33.93086666666667,-118.2816611111111,1989,6,prestressed_concrete,6,other,4,178.3,24.4,7.0,HWB2,4350.52,seismic
53 0944,2024,6,37,33.92363611111111,-118.28186111111113,1988,6,prestressed_concrete,6,other,2,98.5,19.5,7.0,HWB6,1920.75,seismic
53 0945,2024,6,37,34.14629166666666,-118.76123333333334,1964,6,prestressed_concrete,5,other,2,60.7,25.6,7.0,HWB5,1553.92,conventional
53 0947,2024,6,37,33.92058888888889,-118.28319444444443,1988,6,prestressed_concrete,6,other,2,136.2,24.4,7.0,HWB6,3323.28,seismic
53 0948,2024,6,37,33.9163,-118.28627222222222,1993,6,prestressed_concrete,6,other,2,70.7,24.4,7.0,HWB6,1725.08,seismic
53 0949,2024,6,37,33.90904444444444,-118.28703888888889,1993,6,prestressed_concrete,6,other,2,73.5,21.3,5.0,HWB6,1565.55,seismic
53 0952,2024,6,37,33.89633611111111,-118.28659722222224,1995,6,prestressed_concrete,6,other,2,69.4,11.0,7.0,HWB6,763.4000000000001,seismic
53 0954,2024,6,37,33.892525,-118.28525,1960,1,concrete,5,other,1,32.9,64.0,7.0,HWB3,2105.6,conventional
53 0955,2024,6,37,33.88526111111111,-118.28510833333333,1960,1,concrete,5,other,1,40.0,53.0,7.0,HWB3,2120.0,conventional
53 0956,2024,6,37,33.88167777777778,-118.28459166666669,1960,1,concrete,6,other,1,42.0,55.2,7.0,HWB3,2318.4,conventional
53 0957,2024,6,37,33.87923888888889,-118.28457222222222,1960,1,concrete,6,other,1,26.5,63.4,7.0,HWB3,1680.1,conventional
53 0958,2024,6,37,33.87254166666667,-118.28465833333333,1960,2,concrete,6,other,2,65.8,68.6,7.0,HWB5,4513.879999999999,conventional
53 0959,2024,6,37,33.86967222222222,-118.28457222222222,1960,1,concrete,6,other,1,42.1,73.8,7.0,HWB3,3106.98,conventional
53 0960,2024,6,37,33.861311111111114,-118.2846611111111,1960,1,concrete,5,other,1,35.7,54.9,5.0,HWB3,1959.93,conventional
53 0960H,2024,6,37,33.861044444444445,-118.28526111111113,1985,5,prestressed_concrete,6,other,1,34.1,14.0,5.0,HWB4,477.4,seismic
53 0961,2024,6,37,33.84609444444445,-118.28480833333332,1962,2,concrete,5,other,2,34.1,50.9,5.0,HWB5,1735.69,conventional
53 0962,2024,6,37,33.84198055555556,-118.28584444444444,1962,1,concrete,5,other,1,20.4,45.4,4.0,HWB3,926.16,conventional
53 0963,2024,6,37,33.83150277777778,-118.28774166666666,1962,2,concrete,5,other,4,68.6,24.4,5.0,HWB5,1673.8399999999997,conventional
53 0964,2024,6,37,33.82433055555556,-118.28774444444444,1962,2,concrete,5,other,4,68.6,28.7,5.0,HWB5,1968.82,conventional
53 0965,2024,6,37,33.81888611111111,-118.28772777777776,1962,2,concrete,5,other,4,67.7,9.1,7.0,HWB5,616.07,conventional
53 0966,2024,6,37,33.808813888888885,-118.28738888888888,1962,2,concrete,5,other,2,32.3,43.0,5.0,HWB5,1388.9,conventional
53 0967,2024,6,37,33.804075,-118.28849444444444,1962,2,concrete,6,other,3,41.1,40.2,5.0,HWB5,1652.2200000000005,conventional
53 0979,2024,6,37,34.48760277777778,-118.14035,1965,2,concrete,5,other,4,87.9,9.2,5.0,HWB5,808.68,conventional
53 0980,2024,6,37,34.50241944444444,-118.11900555555556,1965,2,concrete,5,other,4,67.4,9.1,7.0,HWB5,613.34,conventional
53 0981,2024,6,37,33.92728611111111,-118.2816111111111,1985,6,prestressed_concrete,6,other,4,132.9,13.4,7.0,HWB6,1780.86,seismic
53 0985S,2024,6,37,34.09251388888889,-118.20609722222224,1940,1,concrete,3,other,1,18.3,7.6,7.0,HWB3,139.08,conventional
53 0986S,2024,6,37,34.10811666666667,-118.18492222222224,1940,1,concrete,3,other,1,39.0,7.6,7.0,HWB3,296.4,conventional
53 0993M,2024,6,37,34.038663888888884,-118.55557777777776,1969,1,concrete,5,other,3,11.0,29.6,,HWB7,325.6,conventional
53 0996L,2024,6,37,34.33635555555556,-118.51003888888889,1955,1,concrete,5,other,1,23.1,11.3,5.0,HWB3,261.03000000000003,conventional
53 0996R,2024,6,37,34.33652777777778,-118.50986944444443,1975,2,concrete,5,other,4,126.8,11.9,7.0,HWB6,1508.92,seismic
53 1004S,2024,6,37,34.509880555555554,-118.11089722222222,1965,2,concrete,5,other,4,102.7,8.5,5.0,HWB5,872.95,conventional
53 1005,2024,6,37,34.510955555555554,-118.11091111111112,1965,2,concrete,5,other,3,64.3,32.4,5.0,HWB5,2083.32,conventional
53 1009,2024,6,37,33.9976,-118.17650833333336,1957,2,concrete,5,other,2,47.5,39.3,7.0,HWB5,1866.75,conventional
53 1010,2024,6,37,34.027747222222224,-118.27468055555556,1956,2,concrete,5,other,2,86.9,18.3,7.0,HWB5,1590.2700000000002,conventional
53 1011,2024,6,37,34.32168333333334,-118.49596111111111,1955,1,concrete,5,other,1,14.9,88.0,7.0,HWB3,1311.2,conventional
53 1012,2024,6,37,34.321488888888894,-118.49621111111112,1970,1,concrete,5,other,1,21.3,87.5,7.0,HWB3,1863.75,conventional
53 1013,2024,6,37,34.33361388888889,-118.50501111111112,1955,1,concrete,5,other,1,37.8,8.5,7.0,HWB3,321.29999999999995,conventional
53 1021C,2024,6,37,34.07251111111111,-118.05360833333332,1956,3,steel,6,other,1,13.1,4.6,7.0,HWB15,60.25999999999999,conventional
53 1021L,2024,6,37,34.07254722222223,-118.05374166666668,1958,1,concrete,5,other,1,24.7,34.2,7.0,HWB3,844.74,conventional
53 1021R,2024,6,37,34.072138888888894,-118.0537472222222,1956,1,concrete,5,other,1,11.9,32.2,7.0,HWB3,383.18000000000006,conventional
53 1022L,2024,6,37,34.072500000000005,-118.05245555555555,1956,1,concrete,5,other,2,19.4,31.8,7.0,HWB7,616.92,conventional
53 1023L,2024,6,37,34.138933333333334,-118.19000555555556,1955,2,concrete,5,other,3,38.8,8.5,7.0,HWB5,329.79999999999995,conventional
53 1023R,2024,6,37,34.13874722222222,-118.18999444444444,1955,2,concrete,5,other,3,38.7,8.5,7.0,HWB5,328.95000000000005,conventional
53 1024L,2024,6,37,34.140433333333334,-118.18715277777778,1955,2,concrete,5,other,3,68.3,8.5,7.0,HWB5,580.55,conventional
53 1024R,2024,6,37,34.140141666666665,-118.18730555555555,1955,2,concrete,5,other,3,68.4,8.5,7.0,HWB5,581.4000000000001,conventional
53 1029,2024,6,37,34.06770277777778,-118.03076944444445,1956,1,concrete,5,other,1,17.0,62.7,7.0,HWB3,1065.9,conventional
53 1030,2024,6,37,34.0673,-118.02089166666669,1956,1,concrete,5,other,1,17.9,52.4,7.0,HWB3,937.96,conventional
53 1031,2024,6,37,34.06424444444444,-118.01140833333334,1956,2,concrete,5,other,2,32.1,51.6,7.0,HWB5,1656.36,conventional
53 1032,2024,6,37,34.064024999999994,-118.01038333333334,1956,1,concrete,5,other,1,29.6,52.0,7.0,HWB3,1539.2,conventional
53 1034,2024,6,37,33.87258333333333,-118.29051111111112,1955,1,concrete,5,other,1,12.5,37.8,7.0,HWB3,472.5,conventional
